"","itemid","ianum","ia_text","surp","prev_surp","prev2_surp","len","prev_len","prev2_len","freq","prev_freq","prev2_freq","ent","prev_ent","prev2_ent","total_rt","gaze_rt","firstfix_rt","context"
"1",1,3,"best",12.3992251333931,15.2427411741524,0,4,6,6,3.78031731214015,1.26951294421792,2.95999483832842,11.5460615158081,19.1582412719727,0,408.545454545455,235.454545454545,187.606060606061,"long"
"2",1,4,"known",1.04384588104241,12.3992251333931,15.2427411741524,5,4,6,2.67024585307412,3.78031731214015,1.26951294421792,4.98023414611816,11.5460615158081,19.1582412719727,379.272727272727,309.666666666667,261,"long"
"3",1,5,"today",8.88990831181365,1.04384588104241,12.3992251333931,5,5,4,3.30102999566398,2.67024585307412,3.78031731214015,1.70600891113281,4.98023414611816,11.5460615158081,410.969696969697,284.606060606061,250.69696969697,"long"
"4",1,6,"as",0.995872135998,8.88990831181365,1.04384588104241,2,5,5,3.95999483832842,3.30102999566398,2.67024585307412,1.9358446598053,1.70600891113281,4.98023414611816,101.818181818182,95.6666666666667,87.4848484848485,"long"
"5",1,7,"the",2.14822351309417,0.995872135998,8.88990831181365,3,2,5,5.19865708695442,3.95999483832842,3.30102999566398,7.99414968490601,1.9358446598053,1.70600891113281,243.212121212121,158.30303030303,147.909090909091,"long"
"6",1,8,"inventor",4.47949917065637,2.14822351309417,0.995872135998,8,3,2,1.65030752313194,5.19865708695442,3.95999483832842,8.83849334716797,7.99414968490601,1.9358446598053,602.484848484848,376.333333333333,221.363636363636,"long"
"7",1,9,"of",0.0785202248872535,4.47949917065637,2.14822351309417,2,8,3,4.95999483832842,1.65030752313194,5.19865708695442,0.439390182495117,8.83849334716797,7.99414968490601,94.6969696969697,66.8484848484848,66.8484848484848,"long"
"8",1,10,"Morse",2.88412986896155,0.0785202248872535,4.47949917065637,5,2,8,1.26951294421792,4.95999483832842,1.65030752313194,3.01412272453308,0.439390182495117,8.83849334716797,409.666666666667,347.636363636364,278.848484848485,"long"
"9",1,11,"Code",2.46692910878773,2.88412986896155,0.0785202248872535,4,5,2,3.19865708695442,1.26951294421792,4.95999483832842,1.66941261291504,3.01412272453308,0.439390182495117,331.272727272727,260.424242424242,220.272727272727,"long"
"10",1,12,"and",4.04099752135601,2.46692910878773,2.88412986896155,3,4,5,5.02118929906994,3.19865708695442,1.26951294421792,2.38054037094116,1.66941261291504,3.01412272453308,224.909090909091,189.848484848485,164.181818181818,"long"
