"","prev_surp","y_lower","y_upper","y","delta","lang","model","linear"
"1",0,-1.52884264629643,1.44529975462089,0,-14.0932944173592,"du","mgpt_lc","linear"
"2",0.1,-1.48981698625253,1.48960046649944,0.0465771535788342,-14.0932944173592,"du","mgpt_lc","linear"
"3",0.2,-1.45079132620863,1.53390117837799,0.0931543071576701,-14.0932944173592,"du","mgpt_lc","linear"
"4",0.3,-1.41176566616473,1.57820189025653,0.139731460736506,-14.0932944173592,"du","mgpt_lc","linear"
"5",0.4,-1.37274000612083,1.62250260213508,0.18630861431534,-14.0932944173592,"du","mgpt_lc","linear"
"6",0.5,-1.33371434607692,1.66680331401362,0.232885767894176,-14.0932944173592,"du","mgpt_lc","linear"
"7",0.6,-1.29468868603302,1.71110402589217,0.279462921473012,-14.0932944173592,"du","mgpt_lc","linear"
"8",0.7,-1.25566302598912,1.75540473777072,0.326040075051846,-14.0932944173592,"du","mgpt_lc","linear"
"9",0.8,-1.21663736594522,1.79970544964926,0.372617228630682,-14.0932944173592,"du","mgpt_lc","linear"
"10",0.9,-1.17761170590132,1.84400616152781,0.419194382209518,-14.0932944173592,"du","mgpt_lc","linear"
"11",1,-1.13858604585742,1.88830687340636,0.465771535788353,-14.0932944173592,"du","mgpt_lc","linear"
"12",1.1,-1.09956038581352,1.9326075852849,0.512348689367188,-14.0932944173592,"du","mgpt_lc","linear"
"13",1.2,-1.06053472576962,1.97690829716345,0.558925842946024,-14.0932944173592,"du","mgpt_lc","linear"
"14",1.3,-1.02150906572571,2.021209009042,0.605502996524859,-14.0932944173592,"du","mgpt_lc","linear"
"15",1.4,-0.982483405681814,2.06550972092054,0.652080150103695,-14.0932944173592,"du","mgpt_lc","linear"
"16",1.5,-0.943457745637911,2.10981043279909,0.698657303682531,-14.0932944173592,"du","mgpt_lc","linear"
"17",1.6,-0.90443208559401,2.15411114467763,0.745234457261365,-14.0932944173592,"du","mgpt_lc","linear"
"18",1.7,-0.865406425550111,2.19841185655618,0.791811610840201,-14.0932944173592,"du","mgpt_lc","linear"
"19",1.8,-0.82638076550621,2.24271256843473,0.838388764419037,-14.0932944173592,"du","mgpt_lc","linear"
"20",1.9,-0.787355105462307,2.28701328031327,0.884965917997871,-14.0932944173592,"du","mgpt_lc","linear"
"21",2,-0.748329445418408,2.33131399219182,0.931543071576707,-14.0932944173592,"du","mgpt_lc","linear"
"22",2.1,-0.709303785374505,2.37561470407037,0.978120225155543,-14.0932944173592,"du","mgpt_lc","linear"
"23",2.2,-0.670278125330604,2.41991541594891,1.02469737873438,-14.0932944173592,"du","mgpt_lc","linear"
"24",2.3,-0.631252465286705,2.46421612782746,1.07127453231321,-14.0932944173592,"du","mgpt_lc","linear"
"25",2.4,-0.592226805242802,2.508516839706,1.11785168589205,-14.0932944173592,"du","mgpt_lc","linear"
"26",2.5,-0.553201145198903,2.55281755158455,1.16442883947088,-14.0932944173592,"du","mgpt_lc","linear"
"27",2.6,-0.514175485155002,2.59711826346309,1.21100599304972,-14.0932944173592,"du","mgpt_lc","linear"
"28",2.7,-0.475149825111099,2.64141897534164,1.25758314662855,-14.0932944173592,"du","mgpt_lc","linear"
"29",2.8,-0.4361241650672,2.68571968722019,1.30416030020739,-14.0932944173592,"du","mgpt_lc","linear"
"30",2.9,-0.397098505023298,2.73002039909873,1.35073745378623,-14.0932944173592,"du","mgpt_lc","linear"
"31",3,-0.358072844979397,2.77432111097728,1.39731460736506,-14.0932944173592,"du","mgpt_lc","linear"
"32",3.1,-0.319047184935497,2.81862182285583,1.4438917609439,-14.0932944173592,"du","mgpt_lc","linear"
"33",3.2,-0.280021524891596,2.86292253473437,1.49046891452273,-14.0932944173592,"du","mgpt_lc","linear"
"34",3.3,-0.240995864847694,2.90722324661292,1.53704606810157,-14.0932944173592,"du","mgpt_lc","linear"
"35",3.4,-0.201970204803793,2.95152395849147,1.5836232216804,-14.0932944173592,"du","mgpt_lc","linear"
"36",3.5,-0.162944544759892,2.99582467037001,1.63020037525924,-14.0932944173592,"du","mgpt_lc","linear"
"37",3.6,-0.123918884715991,3.04012538224856,1.67677752883807,-14.0932944173592,"du","mgpt_lc","linear"
"38",3.7,-0.0848932246720899,3.08442609412711,1.72335468241691,-14.0932944173592,"du","mgpt_lc","linear"
"39",3.8,-0.045867564628189,3.12872680600566,1.76993183599575,-14.0932944173592,"du","mgpt_lc","linear"
"40",3.9,-0.00684190458428802,3.17346859130403,1.81650898957458,-14.0932944173592,"du","mgpt_lc","linear"
"41",4,0.0321837554596129,3.22074593308559,1.86308614315342,-14.0932944173592,"du","mgpt_lc","linear"
"42",4.1,0.0712094155035139,3.26802327486716,1.90966329673225,-14.0932944173592,"du","mgpt_lc","linear"
"43",4.2,0.110235075547415,3.31530061664872,1.95624045031109,-14.0932944173592,"du","mgpt_lc","linear"
"44",4.3,0.149260735591316,3.36257795843029,2.00281760388992,-14.0932944173592,"du","mgpt_lc","linear"
"45",4.4,0.188286395635219,3.40985530021186,2.04939475746876,-14.0932944173592,"du","mgpt_lc","linear"
"46",4.5,0.227312055679118,3.45713264199343,2.09597191104759,-14.0932944173592,"du","mgpt_lc","linear"
"47",4.6,0.266337715723019,3.50440998377499,2.14254906462643,-14.0932944173592,"du","mgpt_lc","linear"
"48",4.7,0.305363375766921,3.55168732555656,2.18912621820526,-14.0932944173592,"du","mgpt_lc","linear"
"49",4.8,0.344389035810821,3.59896466733812,2.2357033717841,-14.0932944173592,"du","mgpt_lc","linear"
"50",4.9,0.383414695854722,3.64624200911969,2.28228052536294,-14.0932944173592,"du","mgpt_lc","linear"
"51",5,0.422440355898624,3.69351935090125,2.32885767894177,-14.0932944173592,"du","mgpt_lc","linear"
"52",5.1,0.461466015942523,3.74079669268282,2.3754348325206,-14.0932944173592,"du","mgpt_lc","linear"
"53",5.2,0.500491675986424,3.78807403446438,2.42201198609944,-14.0932944173592,"du","mgpt_lc","linear"
"54",5.3,0.539517336030325,3.83535137624595,2.46858913967828,-14.0932944173592,"du","mgpt_lc","linear"
"55",5.4,0.578542996074226,3.88420386421747,2.51516629325711,-14.0932944173592,"du","mgpt_lc","linear"
"56",5.5,0.617568656118127,3.94298250748194,2.56174344683594,-14.0932944173592,"du","mgpt_lc","linear"
"57",5.6,0.65659431616203,4.0017611507464,2.60832060041478,-14.0932944173592,"du","mgpt_lc","linear"
"58",5.7,0.695619976205929,4.06053979401087,2.65489775399362,-14.0932944173592,"du","mgpt_lc","linear"
"59",5.8,0.734645636249832,4.11931843727534,2.70147490757245,-14.0932944173592,"du","mgpt_lc","linear"
"60",5.9,0.773671296293733,4.1780970805398,2.74805206115129,-14.0932944173592,"du","mgpt_lc","linear"
"61",6,0.812696956337632,4.23687572380427,2.79462921473012,-14.0932944173592,"du","mgpt_lc","linear"
"62",6.1,0.851722616381533,4.29565436706873,2.84120636830896,-14.0932944173592,"du","mgpt_lc","linear"
"63",6.2,0.890748276425436,4.3544330103332,2.88778352188779,-14.0932944173592,"du","mgpt_lc","linear"
"64",6.3,0.929773936469337,4.41321165359766,2.93436067546663,-14.0932944173592,"du","mgpt_lc","linear"
"65",6.4,0.968799596513238,4.47199029686213,2.98093782904547,-14.0932944173592,"du","mgpt_lc","linear"
"66",6.5,1.00782525655714,4.5307689401266,3.0275149826243,-14.0932944173592,"du","mgpt_lc","linear"
"67",6.6,1.04685091660104,4.58954758339106,3.07409213620313,-14.0932944173592,"du","mgpt_lc","linear"
"68",6.7,1.08587657664494,4.64832622665553,3.12066928978197,-14.0932944173592,"du","mgpt_lc","linear"
"69",6.8,1.12490223668884,4.70710486991999,3.16724644336081,-14.0932944173592,"du","mgpt_lc","linear"
"70",6.9,1.16392789673274,4.76588351318446,3.21382359693964,-14.0932944173592,"du","mgpt_lc","linear"
"71",7,1.20295355677665,4.82466215644893,3.26040075051847,-14.0932944173592,"du","mgpt_lc","linear"
"72",7.1,1.24197921682055,4.88344079971339,3.30697790409731,-14.0932944173592,"du","mgpt_lc","linear"
"73",7.2,1.28100487686445,4.94221944297786,3.35355505767615,-14.0932944173592,"du","mgpt_lc","linear"
"74",7.3,1.32003053690835,5.00099808624233,3.40013221125498,-14.0932944173592,"du","mgpt_lc","linear"
"75",7.4,1.35905619695225,5.05977672950679,3.44670936483382,-14.0932944173592,"du","mgpt_lc","linear"
"76",7.5,1.39808185699615,5.11855537277125,3.49328651841265,-14.0932944173592,"du","mgpt_lc","linear"
"77",7.6,1.43710751704005,5.17733401603572,3.53986367199149,-14.0932944173592,"du","mgpt_lc","linear"
"78",7.7,1.47613317708395,5.23611265930019,3.58644082557032,-14.0932944173592,"du","mgpt_lc","linear"
"79",7.8,1.51515883712785,5.29489130256465,3.63301797914916,-14.0932944173592,"du","mgpt_lc","linear"
"80",7.9,1.55418449717175,5.35366994582912,3.679595132728,-14.0932944173592,"du","mgpt_lc","linear"
"81",8,1.59321015721565,5.41294209250033,3.72617228630683,-14.0932944173592,"du","mgpt_lc","linear"
"82",8.1,1.63223581725955,5.47344918374115,3.77274943988566,-14.0932944173592,"du","mgpt_lc","linear"
"83",8.2,1.67126147730345,5.53395627498196,3.8193265934645,-14.0932944173592,"du","mgpt_lc","linear"
"84",8.3,1.71028713734736,5.59446336622278,3.86590374704334,-14.0932944173592,"du","mgpt_lc","linear"
"85",8.4,1.74931279739126,5.65497045746359,3.91248090062217,-14.0932944173592,"du","mgpt_lc","linear"
"86",8.5,1.78833845743516,5.71547754870441,3.95905805420101,-14.0932944173592,"du","mgpt_lc","linear"
"87",8.6,1.82736411747906,5.77598463994521,4.00563520777984,-14.0932944173592,"du","mgpt_lc","linear"
"88",8.7,1.86638977752296,5.83649173118603,4.05221236135868,-14.0932944173592,"du","mgpt_lc","linear"
"89",8.8,1.90541543756686,5.89699882242684,4.09878951493751,-14.0932944173592,"du","mgpt_lc","linear"
"90",8.9,1.94444109761076,5.95750591366766,4.14536666851635,-14.0932944173592,"du","mgpt_lc","linear"
"91",9,1.98346675765466,6.01801300490848,4.19194382209518,-14.0932944173592,"du","mgpt_lc","linear"
"92",9.1,2.02249241769857,6.07852009614929,4.23852097567402,-14.0932944173592,"du","mgpt_lc","linear"
"93",9.2,2.06151807774247,6.13902718739011,4.28509812925286,-14.0932944173592,"du","mgpt_lc","linear"
"94",9.3,2.10054373778637,6.19953427863092,4.33167528283169,-14.0932944173592,"du","mgpt_lc","linear"
"95",9.4,2.13956939783027,6.26004136987174,4.37825243641053,-14.0932944173592,"du","mgpt_lc","linear"
"96",9.5,2.17859505787417,6.32054846111255,4.42482958998936,-14.0932944173592,"du","mgpt_lc","linear"
"97",9.6,2.21762071791807,6.38105555235337,4.4714067435682,-14.0932944173592,"du","mgpt_lc","linear"
"98",9.7,2.25664637796197,6.44156264359418,4.51798389714703,-14.0932944173592,"du","mgpt_lc","linear"
"99",9.8,2.29567203800588,6.50206973483499,4.56456105072587,-14.0932944173592,"du","mgpt_lc","linear"
"100",9.9,2.33469769804977,6.56257682607581,4.6111382043047,-14.0932944173592,"du","mgpt_lc","linear"
"101",10,2.37372335809367,6.62308391731662,4.65771535788354,-14.0932944173592,"du","mgpt_lc","linear"
"102",10.1,2.41274901813757,6.68359100855744,4.70429251146237,-14.0932944173592,"du","mgpt_lc","linear"
"103",10.2,2.45177467818148,6.74409809979825,4.75086966504121,-14.0932944173592,"du","mgpt_lc","linear"
"104",10.3,2.49080033822538,6.80460519103907,4.79744681862005,-14.0932944173592,"du","mgpt_lc","linear"
"105",10.4,2.52982599826928,6.86511228227988,4.84402397219888,-14.0932944173592,"du","mgpt_lc","linear"
