"","surp","y_lower","y_upper","y","delta","lang","context","linear"
"1",0,-4.85156029124346,5.335760536821,0,15.369093583953,"du","long","non-linear"
"2",0.1,-3.96426186844485,5.56877357705394,0.458429868389185,15.369093583953,"du","long","non-linear"
"3",0.2,-3.07994903570772,5.8017852171093,0.916073421045505,15.369093583953,"du","long","non-linear"
"4",0.3,-2.20168138517574,6.03479402210416,1.37212485228595,15.369093583953,"du","long","non-linear"
"5",0.4,-1.3470932972177,6.26779855715215,1.82577835452609,15.369093583953,"du","long","non-linear"
"6",0.5,-0.609611723526557,6.50079738736695,2.2762281201815,15.369093583953,"du","long","non-linear"
"7",0.6,-0.0214072388795206,6.73378907786222,2.72266834166779,15.369093583953,"du","long","non-linear"
"8",0.7,0.344180668773154,6.96677219375162,3.16429321140052,15.369093583953,"du","long","non-linear"
"9",0.8,0.708431614581658,7.19974530014881,3.60029692179528,15.369093583953,"du","long","non-linear"
"10",0.9,1.07115394164227,7.43270696216745,4.02987366526766,15.369093583953,"du","long","non-linear"
"11",1,1.43215599305124,7.6656557449212,4.45221763423323,15.369093583953,"du","long","non-linear"
"12",1.1,1.79124611190486,7.89859021352374,4.86652302110758,15.369093583953,"du","long","non-linear"
"13",1.2,2.14823264129938,8.13546094305351,5.27198401830629,15.369093583953,"du","long","non-linear"
"14",1.3,2.49690320210887,8.39228352890271,5.66779481824494,15.369093583953,"du","long","non-linear"
"15",1.4,2.81227037738457,8.64897578338303,6.05314978287,15.369093583953,"du","long","non-linear"
"16",1.5,3.12761578448269,8.90552805413077,6.42750455766161,15.369093583953,"du","long","non-linear"
"17",1.6,3.44293788095047,9.16193187056705,6.79110333365774,15.369093583953,"du","long","non-linear"
"18",1.7,3.75823512650591,9.41817898417465,7.14433847249903,15.369093583953,"du","long","non-linear"
"19",1.8,4.073505980867,9.67426114643639,7.48760233582611,15.369093583953,"du","long","non-linear"
"20",1.9,4.38874890375171,9.93017010883506,7.82128728527963,15.369093583953,"du","long","non-linear"
"21",2,4.70396235487806,10.1858976228535,8.14578568250023,15.369093583953,"du","long","non-linear"
"22",2.1,5.01914479396403,10.4414354399744,8.46148988912852,15.369093583953,"du","long","non-linear"
"23",2.2,5.3342946807276,10.6967753116807,8.76879226680516,15.369093583953,"du","long","non-linear"
"24",2.3,5.64941047488676,10.9519089894552,9.06808517717078,15.369093583953,"du","long","non-linear"
"25",2.4,5.96449063615952,11.2068282247805,9.35976098186602,15.369093583953,"du","long","non-linear"
"26",2.5,6.27953362426385,11.4615247691397,9.6442120425315,15.369093583953,"du","long","non-linear"
"27",2.6,6.59453789891775,11.7159903740154,9.92183072080788,15.369093583953,"du","long","non-linear"
"28",2.7,6.90950191983921,11.9702167908904,10.1930093783358,15.369093583953,"du","long","non-linear"
"29",2.8,7.22442414674621,12.2241957712476,10.4581403767558,15.369093583953,"du","long","non-linear"
"30",2.9,7.53930303935676,12.4779190665697,10.7176160777087,15.369093583953,"du","long","non-linear"
"31",3,7.85413705738883,12.7313784283396,10.971828842835,15.369093583953,"du","long","non-linear"
"32",3.1,8.16892466056043,12.9845656080401,11.2211710337754,15.369093583953,"du","long","non-linear"
"33",3.2,8.4836643108609,13.2374723625079,11.4660348914182,15.369093583953,"du","long","non-linear"
"34",3.3,8.79835481786434,13.4900912678906,11.7067941780883,15.369093583953,"du","long","non-linear"
"35",3.4,9.11299570937487,13.7424165933147,11.9437844730177,15.369093583953,"du","long","non-linear"
"36",3.5,9.42758660207881,13.9944428174156,12.1773366302166,15.369093583953,"du","long","non-linear"
"37",3.6,9.74212711266247,14.2461644188289,12.4077815036952,15.369093583953,"du","long","non-linear"
"38",3.7,10.0566168578122,14.4975758761902,12.6354499474637,15.369093583953,"du","long","non-linear"
"39",3.8,10.3710554542142,14.7486716681347,12.8606728155324,15.369093583953,"du","long","non-linear"
"40",3.9,10.6854425185549,14.9994462732982,13.0837809619115,15.369093583953,"du","long","non-linear"
"41",4,10.9997776675205,15.249894170316,13.3051052406112,15.369093583953,"du","long","non-linear"
"42",4.1,11.3140605177975,15.5000098378237,13.5249765056417,15.369093583953,"du","long","non-linear"
"43",4.2,11.628290686072,15.7497877544567,13.7437256110133,15.369093583953,"du","long","non-linear"
"44",4.3,11.9424677890304,15.9992223988506,13.9616834107362,15.369093583953,"du","long","non-linear"
"45",4.4,12.2392415512976,16.2483082496409,14.1791807588206,15.369093583953,"du","long","non-linear"
"46",4.5,12.5361503755161,16.497039785463,14.3965485092767,15.369093583953,"du","long","non-linear"
"47",4.6,12.8266970361681,16.7454114849524,14.6141175161148,15.369093583953,"du","long","non-linear"
"48",4.7,13.1129602199338,16.9934178267447,14.8322186333451,15.369093583953,"du","long","non-linear"
"49",4.8,13.3995166556385,17.2410532894754,15.0511827149777,15.369093583953,"du","long","non-linear"
"50",4.9,13.6865571957933,17.4883123517799,15.2713406150231,15.369093583953,"du","long","non-linear"
"51",5,13.9742726929096,17.7351894922937,15.4930231874913,15.369093583953,"du","long","non-linear"
"52",5.1,14.2628539994984,17.9816791896523,15.7165612863925,15.369093583953,"du","long","non-linear"
"53",5.2,14.3945764274672,18.2277759224913,15.9422857657371,15.369093583953,"du","long","non-linear"
"54",5.3,14.5245466413604,18.473474169446,16.1705274795352,15.369093583953,"du","long","non-linear"
"55",5.4,14.6645854188261,18.7187684091521,16.4016172817971,15.369093583953,"du","long","non-linear"
"56",5.5,14.815989298558,18.9636533634529,16.6358757509551,15.369093583953,"du","long","non-linear"
"57",5.6,14.9673070304952,19.2081289622243,16.8734034250976,15.369093583953,"du","long","non-linear"
"58",5.7,15.1289991176752,19.4522001376779,17.1140894926922,15.369093583953,"du","long","non-linear"
"59",5.8,15.302573744664,19.6958720240729,17.3578146056585,15.369093583953,"du","long","non-linear"
"60",5.9,15.4876060070545,19.9391497556688,17.6044594159157,15.369093583953,"du","long","non-linear"
"61",6,15.6836710004394,20.1820384667247,17.8539045753835,15.369093583953,"du","long","non-linear"
"62",6.1,15.8903438204112,20.4245432914998,18.1060307359811,15.369093583953,"du","long","non-linear"
"63",6.2,16.1071995625628,20.6666693642536,18.360718549628,15.369093583953,"du","long","non-linear"
"64",6.3,16.3338133224868,20.9084218192452,18.6178486682437,15.369093583953,"du","long","non-linear"
"65",6.4,16.5697601957758,21.1498057907339,18.8773017437475,15.369093583953,"du","long","non-linear"
"66",6.5,16.8146152780226,21.390826412979,19.1389584280589,15.369093583953,"du","long","non-linear"
"67",6.6,17.0679536648199,21.6314888202397,19.4026993730974,15.369093583953,"du","long","non-linear"
"68",6.7,17.3293504517603,21.8717981467753,19.6684052307822,15.369093583953,"du","long","non-linear"
"69",6.8,17.5983807344366,22.1117595268451,19.935956653033,15.369093583953,"du","long","non-linear"
"70",6.9,17.8746196084414,22.3513780947083,20.205234291769,15.369093583953,"du","long","non-linear"
"71",7,18.1576421693674,22.5906589846243,20.4761187989098,15.369093583953,"du","long","non-linear"
"72",7.1,18.4470235128073,22.8296073308522,20.7484908263746,15.369093583953,"du","long","non-linear"
"73",7.2,18.7423387343538,23.0682282676514,21.0222310260831,15.369093583953,"du","long","non-linear"
"74",7.3,19.0431629295996,23.3065269292811,21.2972200499546,15.369093583953,"du","long","non-linear"
"75",7.4,19.3490711941374,23.5445084500006,21.5733385499085,15.369093583953,"du","long","non-linear"
"76",7.5,19.6596386235598,23.7821779640691,21.8504671778642,15.369093583953,"du","long","non-linear"
