	sample_id	word_id	word	score	shannon	renyi
0	0	0	En	2.696079969406128	5.118733882904053	7.880922794342041
1	0	1	las	3.718090772628784	4.762149333953857	7.360104084014893
2	0	2	antiguas	6.988884925842285	4.519363880157471	7.298340797424316
3	0	3	mitología	5.734963417053223	5.4544525146484375	7.653476238250732
4	0	4	y	7.97240686416626	0.33201366662979126	3.7413952350616455
5	0	5	religión	4.0742669105529785	3.3379602432250977	6.8101606369018555
6	0	6	romana,	4.157209098339081	4.352684497833252	7.031497955322266
7	0	7	Jano	12.058229923248291	5.290135860443115	7.722106456756592
8	0	8	es	3.3576149940490723	5.709341526031494	7.969518184661865
9	0	9	el	1.262110710144043	3.222921133041382	6.561318874359131
10	0	10	dios	2.3352131843566895	4.415849208831787	6.916614532470703
11	0	11	de	1.4648549556732178	3.8191351890563965	6.831430435180664
12	0	12	los	2.0056416988372803	1.7352983951568604	6.071536540985107
13	0	13	comienzos	10.92050552368164	5.577997207641602	7.636148452758789
14	0	14	y	3.019601345062256	1.5070964097976685	4.925714492797852
15	0	15	las	3.243443489074707	4.373270034790039	7.370385646820068
16	0	16	puertas,	10.837952136993408	5.856616973876953	7.582258701324463
17	0	17	Él	11.414247512817383	5.277544021606445	7.693230152130127
18	0	18	tiene	3.6349854469299316	3.6865506172180176	7.048523902893066
19	0	19	una	1.9926702976226807	3.7447237968444824	6.619029998779297
20	0	20	doble	6.223225116729736	5.791747093200684	7.421024322509766
21	0	21	naturaleza,	4.054605960845947	5.303867340087891	7.233580112457275
22	0	22	y	2.032939910888672	5.1293840408325195	7.611876487731934
23	0	23	generalmente	7.70881462097168	4.879794597625732	7.298776626586914
24	0	24	se	1.6780478954315186	4.315268516540527	6.9325270652771
25	0	25	lo	3.4010496139526367	4.9257001876831055	6.74107027053833
26	0	26	representa	1.447051763534546	4.037354946136475	6.232170104980469
27	0	27	con	1.5954432487487793	2.0074715614318848	5.540544033050537
28	0	28	dos	4.594084739685059	4.183441162109375	7.118239402770996
29	0	29	caras,	5.514171361923218	5.070404052734375	7.2930169105529785
30	0	30	ya	6.852352619171143	3.7856311798095703	6.874749183654785
31	0	31	que	0.49945133924484253	1.6560032367706299	5.79044246673584
32	0	32	él	3.695482015609741	4.662878036499023	7.031619548797607
33	0	33	mira	7.652153968811035	3.907132387161255	6.387202739715576
34	0	34	hacia	1.6289392709732056	3.4344024658203125	6.119473934173584
35	0	35	el	1.2995455265045166	2.92238187789917	5.586687088012695
36	0	36	futuro	6.430130958557129	3.665027618408203	6.625617504119873
37	0	37	y	2.034597873687744	2.6174886226654053	5.685771942138672
38	0	38	hacia	4.674221992492676	4.981534481048584	7.1077070236206055
39	0	39	el	0.3652830421924591	1.4773823022842407	4.895904541015625
40	0	40	pasado.	3.8134353160858154	0.8649137020111084	4.712524890899658
41	0	41	Jano	2.770250474102795	4.551379680633545	6.8397393226623535
42	0	42	presidía	11.756450533866882	4.372597694396973	6.9991984367370605
43	0	43	el	1.9124301671981812	3.8431129455566406	6.658769607543945
44	0	44	comienzo	6.154360771179199	5.7600908279418945	7.582678318023682
45	0	45	y	1.7671091556549072	1.771316409111023	4.882843971252441
46	0	46	el	1.3836894035339355	3.7539801597595215	6.998112678527832
47	0	47	final	1.3863462209701538	3.8560400009155273	6.806197643280029
48	0	48	de	0.8065647482872009	2.069356918334961	5.491225719451904
49	0	49	los	3.273265838623047	1.842668056488037	5.326365947723389
50	0	50	conflictos,	8.87459921836853	4.9529829025268555	7.284036159515381
51	0	51	y	1.722583293914795	4.441719055175781	7.097345352172852
52	0	52	por	3.7084877490997314	5.360342025756836	7.523017406463623
53	0	53	lo	1.6655384302139282	3.1020429134368896	6.0004682540893555
54	0	54	tanto	0.06496942043304443	0.3063155710697174	2.7225699424743652
55	0	55	la	3.797433853149414	4.754278659820557	7.307030200958252
56	0	56	guerra	4.898935794830322	6.1524786949157715	7.778099536895752
57	0	57	y	4.130104064941406	4.5092597007751465	6.981342792510986
58	0	58	la	1.06246018409729	2.3920822143554688	6.3529462814331055
59	0	59	paz.	5.4630022048950195	5.031039237976074	7.245730400085449
60	0	60	Las	3.9559342861175537	4.5583367347717285	6.856973648071289
61	0	61	puertas	2.6715152263641357	5.64693546295166	7.476852893829346
62	0	62	de	2.503953218460083	4.097660541534424	6.862588405609131
63	0	63	su	4.462644577026367	4.020228862762451	7.28084659576416
64	0	64	templo	3.6525774002075195	5.927361488342285	7.669058799743652
65	0	65	se	1.8368505239486694	4.177835464477539	6.872718811035156
66	0	66	abrían	7.866459220647812	5.520415306091309	7.210325241088867
67	0	67	en	1.5512969493865967	3.764206886291504	6.162063121795654
68	0	68	tiempos	6.0826497077941895	3.970881938934326	7.043665885925293
69	0	69	de	0.6604663133621216	2.477145195007324	5.985196113586426
70	0	70	guerra	4.459959983825684	4.795416831970215	7.325446128845215
71	0	71	y	1.827897548675537	2.59147310256958	5.871154308319092
72	0	72	se	2.4100124835968018	5.2203049659729	7.779550075531006
73	0	73	cerraban	6.344103693962097	6.151094436645508	7.598580837249756
74	0	74	durante	4.62776517868042	3.697275161743164	6.381499767303467
75	0	75	los	2.264615058898926	3.5083160400390625	5.940118312835693
76	0	76	momentos	6.108915328979492	4.527370929718018	6.908707141876221
77	0	77	de	1.0818947553634644	3.064687490463257	6.197184085845947
78	0	78	paz.	3.0400756001472473	3.5974128246307373	6.7962822914123535
79	0	79	Como	4.563325881958008	4.109293460845947	6.575510501861572
80	0	80	dios	4.422395706176758	5.118325233459473	7.56348180770874
