	sample_id	word_id	word	score	shannon	renyi
0	0	0	고대	6.903477668762207	7.85713005065918	9.051637649536133
1	0	1	로마의	4.3147231340408325	4.904087066650391	7.697076797485352
2	0	2	종교와	7.5202295780181885	6.635537147521973	8.057209014892578
3	0	3	신화에서	8.412812232971191	5.4305739402771	7.545276165008545
4	0	4	야누스는	13.1714426279068	5.14507532119751	7.842166900634766
5	0	5	시작과	13.769483089447021	6.735733985900879	8.192374229431152
6	0	6	문의	13.038469314575195	5.448212623596191	7.729920387268066
7	0	7	신으로	8.756304740905762	5.113986968994141	7.590083599090576
8	0	8	여겨졌다.	2.7377122677862644	5.602367401123047	7.773561954498291
9	0	9	그는	3.6665921211242676	5.9401535987854	7.8013458251953125
10	0	10	양면적	16.787752151489258	6.557731628417969	8.087504386901855
11	0	11	성격을	9.046768188476562	5.815412998199463	7.944589138031006
12	0	12	지녀	7.0821287631988525	3.4501073360443115	6.343740463256836
13	0	13	보통	8.2453031539917	5.452740669250488	7.905251979827881
14	0	14	두	4.133026123046875	5.786377906799316	7.949195384979248
15	0	15	개의	1.702451229095459	4.4204421043396	7.226190567016602
16	0	16	얼굴을	6.620180130004883	6.82283878326416	8.258200645446777
17	0	17	가지고	2.2284088134765625	4.896430492401123	7.449362754821777
18	0	18	있는	3.6880717277526855	2.9387705326080322	5.858994483947754
19	0	19	것으로	3.064434051513672	5.723099231719971	7.758572578430176
20	0	20	그려지는데,	10.915310055017471	4.7010698318481445	7.228095531463623
21	0	21	이는	1.911634922027588	5.212284088134766	7.562129497528076
22	0	22	그가	5.304296493530273	6.3574957847595215	8.042438507080078
23	0	23	미래와	12.703907012939453	6.851443767547607	8.302931785583496
24	0	24	과거를	6.52025032043457	5.413736343383789	7.600433349609375
25	0	25	모두	5.25669002532959	5.908412933349609	7.686608791351318
26	0	26	살피기	7.946238875389099	6.066677093505859	7.722140789031982
27	0	27	때문이다.	4.2623535473831	1.8541651964187622	4.145349979400635
28	0	28	야	3.8929827213287354	5.797251224517822	7.789219856262207
29	0	29	누스는	27.603487014770508	0.007972214370965958	0.9241921901702881
30	0	30	갈등의	13.893534183502197	6.65152645111084	8.182802200317383
31	0	31	시작과	7.004594087600708	5.389212608337402	7.588244438171387
32	0	32	끝을	3.302743434906006	5.878698348999023	7.9150004386901855
33	0	33	주재하고,	13.943680763244629	5.982657432556152	7.716994285583496
34	0	34	이에	5.6905059814453125	6.619328022003174	8.192479133605957
35	0	35	따라	1.546030044555664	4.970405578613281	7.584494113922119
36	0	36	전쟁과	9.538528442382812	6.322031497955322	8.100785255432129
37	0	37	평화	2.3429651260375977	5.648895263671875	7.725935935974121
38	0	38	역시	8.89834213256836	2.204141139984131	5.668393135070801
39	0	39	관장한다.	12.475315358489752	6.6154913902282715	7.987519264221191
40	0	40	야누스	6.913910865783691	5.3893537521362305	7.735961437225342
41	0	41	사원의	12.634270787239075	1.2906309366226196	5.035151481628418
42	0	42	문은	6.804048776626587	6.994457721710205	8.24260425567627
43	0	43	전	6.701155662536621	7.073409080505371	8.378561019897461
44	0	44	쟁시에는	27.834286212921143	4.805410861968994	7.45720911026001
45	0	45	열려	7.622293949127197	7.26901388168335	8.478338241577148
46	0	46	있고	2.935734272003174	3.9207823276519775	6.53519344329834
47	0	47	평화의	9.034722089767456	1.6855181455612183	6.704875469207764
48	0	48	시기에는	7.3621954917907715	5.4087653160095215	7.64022970199585
49	0	49	닫혀	4.260191768407822	5.769488334655762	8.160964012145996
50	0	50	있다.	1.0636229068040848	2.5745906829833984	4.706740856170654
51	0	51	문의	6.889200985431671	5.631156921386719	7.873873710632324
52	0	52	신으로서	5.495330214500427	5.781398296356201	7.910627841949463
53	0	53	야누스는	4.561905026435852	6.264691352844238	8.124238014221191
54	0	54	집의	10.269311428070068	6.8490495681762695	8.220967292785645
55	0	55	문으로	4.767733335494995	5.681039810180664	7.85166597366333
56	0	56	나가고	9.673210620880127	6.541981220245361	8.144394874572754
57	0	57	들어오	14.638483047485352	2.2818355560302734	6.8814697265625
58	0	58	는	13.152742385864258	2.7589306831359863	4.888294219970703
59	0	59	것과도	14.435395240783691	6.945072650909424	8.319568634033203
60	0	60	연관된다.	5.496776948682964	5.205408096313477	7.308538913726807
61	0	61	야누스는	3.8056138455867767	5.700741767883301	7.870194435119629
62	0	62	종종	5.397616386413574	6.783644676208496	8.236976623535156
63	0	63	변화와	12.26112174987793	6.92285680770874	8.320206642150879
64	0	64	변천을	10.053207576274872	6.944121360778809	8.214129447937012
65	0	65	상징하는데,	8.720885515213013	5.612668037414551	7.502373218536377
66	0	66	그	3.1482245922088623	4.874157428741455	7.558879375457764
67	0	67	예로	3.312021255493164	3.7236900329589844	6.937541961669922
68	0	68	하나의	9.590042114257812	4.3608078956604	7.681463241577148
69	0	69	상태에서	12.750991821289062	6.536136627197266	8.060547828674316
70	0	70	다른	4.680466651916504	6.392417907714844	8.220932960510254
71	0	71	상태	7.705495834350586	5.130553245544434	7.293371677398682
72	0	72	로	11.458074569702148	1.5190056562423706	5.093414783477783
73	0	73	혹은	10.353096008300781	6.461365222930908	8.11502456665039
74	0	74	하나의	4.398339748382568	6.4213714599609375	8.201469421386719
75	0	75	관점에서	8.270624160766602	6.2831292152404785	7.962888240814209
76	0	76	다른	4.510730743408203	6.680878639221191	8.229330062866211
77	0	77	관점으로의	15.884364485740662	4.6692705154418945	7.10220193862915
78	0	78	진보,	13.043548583984375	5.735424041748047	7.811206340789795
79	0	79	그리고	2.225369930267334	5.858319282531738	8.069573402404785
