	sample_id	word_id	word	score	shannon	renyi
0	0	0	In	3.0151309967041016	5.908967971801758	8.309786796569824
1	0	1	ancient	6.988452911376953	6.001334190368652	7.936716556549072
2	0	2	Roman	6.537439823150635	1.7246320247650146	6.173837184906006
3	0	3	religion	5.536991596221924	1.9459450244903564	6.0494794845581055
4	0	4	and	4.205600738525391	1.8633359670639038	6.007578372955322
5	0	5	myth,	6.679034352302551	5.775539398193359	7.716300010681152
6	0	6	Janus	10.793355941772461	4.731523513793945	7.736936569213867
7	0	7	is	2.875040292739868	5.578386306762695	7.8357038497924805
8	0	8	the	2.28741717338562	4.1036505699157715	6.518622398376465
9	0	9	god	3.9145610332489014	5.339009761810303	7.490909576416016
10	0	10	of	0.15371055901050568	0.9837541580200195	5.076486110687256
11	0	11	beginnings	11.45209264755249	4.68845272064209	7.745094299316406
12	0	12	and	1.8583629131317139	3.373197555541992	6.643777370452881
13	0	13	gates.	11.780740737915039	4.764947891235352	7.5182647705078125
14	0	14	He	2.35227108001709	4.077038288116455	6.860305309295654
15	0	15	has	3.7327749729156494	3.5411806106567383	6.905121803283691
16	0	16	a	2.2473371028900146	4.510116100311279	7.180499076843262
17	0	17	double	6.867156028747559	6.121767997741699	7.8505682945251465
18	0	18	nature	6.426261901855469	5.855291366577148	7.6370391845703125
19	0	19	and	2.557065963745117	4.401968002319336	7.164697647094727
20	0	20	is	2.35349702835083	5.269071578979492	7.707940101623535
21	0	21	usually	4.793511867523193	4.989431858062744	7.234782695770264
22	0	22	depicted	2.1027965545654297	4.629173278808594	7.060588359832764
23	0	23	as	0.9429996013641357	2.612882614135742	6.057426929473877
24	0	24	having	2.6788129806518555	3.513273000717163	7.038608074188232
25	0	25	two	4.276863098144531	4.280515193939209	7.452129364013672
26	0	26	faces,	6.282714605331421	6.462153911590576	7.901329040527344
27	0	27	since	8.27483081817627	4.740347862243652	7.385470390319824
28	0	28	he	1.6962900161743164	3.9634108543395996	7.198287487030029
29	0	29	looks	6.218506813049316	3.6341569423675537	6.681313991546631
30	0	30	to	3.8325018882751465	4.509549140930176	6.8320512771606445
31	0	31	the	1.0483767986297607	3.485482692718506	6.8915486335754395
32	0	32	future	9.491079330444336	5.344346046447754	7.396158695220947
33	0	33	and	2.4432334899902344	2.9295637607574463	6.115146636962891
34	0	34	to	5.01574182510376	5.443686485290527	7.580225944519043
35	0	35	the	0.5959130525588989	3.126528263092041	6.8821516036987305
36	0	36	past.	3.068301796913147	3.888108730316162	7.089590072631836
37	0	37	Janus	1.6019087536260486	3.5245752334594727	6.361936092376709
38	0	38	presided	11.276609420776367	3.060898780822754	6.633230686187744
39	0	39	over	0.17206646502017975	0.9599603414535522	4.77546501159668
40	0	40	the	0.4719404876232147	2.1651804447174072	6.270305156707764
41	0	41	beginning	6.391653060913086	6.688312530517578	8.151360511779785
42	0	42	and	3.5767147541046143	1.0657719373703003	4.5725555419921875
43	0	43	ending	3.2968459129333496	4.655709266662598	7.378533840179443
44	0	44	of	0.5422958135604858	2.059627056121826	5.851197242736816
45	0	45	conflict,	12.797401428222656	2.599247455596924	6.918880939483643
46	0	46	and	1.9912197589874268	4.879517555236816	7.320972442626953
47	0	47	hence	6.927637100219727	5.162534713745117	7.581478595733643
48	0	48	war	8.140440940856934	5.440032958984375	7.707741737365723
49	0	49	and	4.90178108215332	2.4278714656829834	6.1165547370910645
50	0	50	peace.	4.110614478588104	5.847434997558594	7.700616359710693
51	0	51	The	2.3894381523132324	3.140526294708252	6.231701850891113
52	0	52	doors	9.009353637695312	6.748431205749512	8.219939231872559
53	0	53	of	0.5527418255805969	2.255955457687378	5.867397785186768
54	0	54	his	3.3243820667266846	3.346485137939453	7.139060020446777
55	0	55	temple	3.3134806156158447	6.103963851928711	7.762163162231445
56	0	56	were	2.1810407638549805	3.0592713356018066	6.319190979003906
57	0	57	open	6.139658451080322	5.559713363647461	7.309166431427002
58	0	58	in	2.2436342239379883	2.9309301376342773	5.836062431335449
59	0	59	times	6.590540885925293	4.828671455383301	7.478945255279541
60	0	60	of	0.3450067639350891	1.6446220874786377	4.936905384063721
61	0	61	war	2.5159215927124023	5.186690330505371	7.212627410888672
62	0	62	and	1.6565077304840088	2.057521343231201	4.999323844909668
63	0	63	closed	9.46033763885498	5.726619720458984	7.814768314361572
64	0	64	during	3.115633010864258	2.6830315589904785	5.82313871383667
65	0	65	peacetime.	7.167581617832184	2.3708419799804688	6.452850341796875
66	0	66	As	5.071012496948242	2.90981388092041	6.191561222076416
67	0	67	the	1.7832649946212769	3.806898832321167	7.129619598388672
68	0	68	god	3.5325582027435303	6.843523979187012	8.24577808380127
69	0	69	of	0.4225030839443207	2.1174399852752686	6.4214982986450195
70	0	70	gates,	9.449101686477661	4.77172327041626	7.500959396362305
71	0	71	he	1.7041950225830078	1.783335566520691	6.084203243255615
