"","trialid","ianum","model_ia","surp","ent","model","freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_ent","prev2_ent","ia","total_rt","gaze_rt","firstfix_rt","mismatch","lang"
"1",1,1,"In",0,0,"mgpt_lc",0.0174,2,NA,NA,NA,NA,NA,NA,NA,NA,"In",115,97.9714285714286,97.9714285714286,FALSE,"ge"
"2",1,2,"der",4.90726963066455,10.0423259735107,"mgpt_lc",0.0288,3,0,NA,0.0174,NA,2,NA,0,NA,"der",379.428571428571,237.885714285714,180.771428571429,FALSE,"ge"
"3",1,3,"alten",9.99360782814168,9.87195682525635,"mgpt_lc",0.000204,5,4.90726963066455,0,0.0288,0.0174,3,2,10.0423259735107,0,"alten",507.685714285714,243.828571428571,157.685714285714,FALSE,"ge"
"4",1,4,"römischen",11.0473827994618,8.87993240356445,"mgpt_lc",0.0000209,9,9.99360782814168,4.90726963066455,0.000204,0.0288,5,3,9.87195682525635,10.0423259735107,"römischen",644.514285714286,247.685714285714,179.057142857143,FALSE,"ge"
"5",1,5,"Religion",7.8267616049872,6.48159122467041,"mgpt_lc",0.0000513,8,11.0473827994618,9.99360782814168,0.0000209,0.000204,9,5,8.87993240356445,9.87195682525635,"Religion",711.114285714286,352.828571428571,245.571428571429,FALSE,"ge"
"6",1,6,"und",6.0598357233805,6.1757869720459,"mgpt_lc",0.0263,3,7.8267616049872,11.0473827994618,0.0000513,0.0000209,8,9,6.48159122467041,8.87993240356445,"und",120.885714285714,105.685714285714,98.7142857142857,FALSE,"ge"
"7",1,7,"Mythologie",6.6311264369024,5.86905194818974,"mgpt_lc",0.0000038,10,6.0598357233805,7.8267616049872,0.0263,0.0000513,3,8,6.1757869720459,6.48159122467041,"Mythologie",677.742857142857,328.2,239.857142857143,FALSE,"ge"
"8",1,8,"ist",3.81812528051335,6.86483478546143,"mgpt_lc",0.012,3,6.6311264369024,6.0598357233805,0.0000038,0.0263,10,3,5.86905194818974,6.1757869720459,"ist",325.857142857143,202.4,190.6,FALSE,"ge"
"9",1,9,"Janus",12.6992946141579,10.5490458011627,"mgpt_lc",0.00000123,5,3.81812528051335,6.6311264369024,0.012,0.0000038,3,10,6.86483478546143,5.86905194818974,"Janus",588.485714285714,335.542857142857,216,FALSE,"ge"
"10",1,10,"der",1.59874390372123,5.38587141036987,"mgpt_lc",0.0288,3,12.6992946141579,3.81812528051335,0.00000123,0.012,5,3,10.5490458011627,6.86483478546143,"der",271.142857142857,201.371428571429,182.485714285714,FALSE,"ge"
"11",1,11,"Gott",3.03569051154958,7.79599761962891,"mgpt_lc",0.000182,4,1.59874390372123,12.6992946141579,0.0288,0.00000123,3,5,5.38587141036987,10.5490458011627,"Gott",345.657142857143,226.285714285714,192.542857142857,FALSE,"ge"
"12",1,12,"des",1.19711943045845,2.11362528800964,"mgpt_lc",0.0055,3,3.03569051154958,1.59874390372123,0.000182,0.0288,4,3,7.79599761962891,5.38587141036987,"des",372.885714285714,185.857142857143,161.914285714286,FALSE,"ge"
"13",1,13,"Anfangs",9.40181434392234,8.18131732940674,"mgpt_lc",0.0000316,7,1.19711943045845,3.03569051154958,0.0055,0.000182,3,4,2.11362528800964,7.79599761962891,"Anfangs",709.571428571429,343.371428571429,235.228571428571,FALSE,"ge"
"14",1,14,"und",1.10088605589714,2.65177178382874,"mgpt_lc",0.0263,3,9.40181434392234,1.19711943045845,0.0000316,0.0055,7,3,8.18131732940674,2.11362528800964,"und",197.771428571429,138,138,FALSE,"ge"
"15",1,15,"der",1.61123654196341,4.01409339904785,"mgpt_lc",0.0288,3,1.10088605589714,9.40181434392234,0.0263,0.0000316,3,7,2.65177178382874,8.18131732940674,"der",356,216.485714285714,200.457142857143,FALSE,"ge"
"16",1,16,"Tore.",13.8173612721097,11.0116302967072,"mgpt_lc",0.0000347,5,1.61123654196341,1.10088605589714,0.0288,0.0263,3,3,4.01409339904785,2.65177178382874,"Tore.",578.657142857143,303.314285714286,279.657142857143,FALSE,"ge"
"17",1,17,"Er",1.60011947532857,4.92446804046631,"mgpt_lc",0.00513,2,13.8173612721097,1.61123654196341,0.0000347,0.0288,5,3,11.0116302967072,4.01409339904785,"Er",104.771428571429,88.3714285714286,80.4857142857143,FALSE,"ge"
"18",1,18,"hat",5.57749438380284,4.71116828918457,"mgpt_lc",0.00398,3,1.60011947532857,13.8173612721097,0.00513,0.0000347,2,5,4.92446804046631,11.0116302967072,"hat",253.542857142857,204.228571428571,188.228571428571,FALSE,"ge"
"19",1,19,"eine",4.09982564086964,6.12720537185669,"mgpt_lc",0.00631,4,5.57749438380284,1.60011947532857,0.00398,0.00513,3,2,4.71116828918457,4.92446804046631,"eine",292.657142857143,217.2,196.342857142857,FALSE,"ge"
"20",1,20,"doppelte",6.07765953161811,9.12239596247673,"mgpt_lc",0.0000141,8,4.09982564086964,5.57749438380284,0.00631,0.00398,4,3,6.12720537185669,4.71116828918457,"doppelte",413.828571428571,294.742857142857,189.8,FALSE,"ge"
"21",1,21,"Natur",8.75275319152042,3.38857889175415,"mgpt_lc",0.0000871,5,6.07765953161811,4.09982564086964,0.0000141,0.00631,8,4,9.12239596247673,6.12720537185669,"Natur",325.371428571429,227.542857142857,193.085714285714,FALSE,"ge"
"22",1,22,"und",2.8534861703946,2.54722380638123,"mgpt_lc",0.0263,3,8.75275319152042,6.07765953161811,0.0000871,0.0000141,5,8,3.38857889175415,9.12239596247673,"und",166.971428571429,126.485714285714,121.714285714286,FALSE,"ge"
"23",1,23,"wird",5.08197307386144,6.45623970031738,"mgpt_lc",0.00316,4,2.8534861703946,8.75275319152042,0.0263,0.0000871,3,5,2.54722380638123,3.38857889175415,"wird",384.714285714286,193.542857142857,183.8,FALSE,"ge"
"24",1,24,"gewöhnlich",8.85805228787207,5.5806743055582,"mgpt_lc",0.0000135,10,5.08197307386144,2.8534861703946,0.00316,0.0263,4,3,6.45623970031738,2.54722380638123,"gewöhnlich",492.857142857143,257.885714285714,192.114285714286,FALSE,"ge"
"25",1,25,"mit",1.63499654672902,3.65060043334961,"mgpt_lc",0.00955,3,8.85805228787207,5.08197307386144,0.0000135,0.00316,10,4,5.5806743055582,6.45623970031738,"mit",128.6,117.8,110.942857142857,FALSE,"ge"
"26",1,26,"zwei",4.14651139443673,6.20672225952148,"mgpt_lc",0.000871,4,1.63499654672902,8.85805228787207,0.00955,0.0000135,3,10,3.65060043334961,5.5806743055582,"zwei",290.457142857143,203.257142857143,179.371428571429,FALSE,"ge"
"27",1,27,"Gesichtern",5.72698954543892,8.98169686808251,"mgpt_lc",0.00000331,10,4.14651139443673,1.63499654672902,0.000871,0.00955,4,3,6.20672225952148,3.65060043334961,"Gesichtern",450.114285714286,276.628571428571,195.114285714286,FALSE,"ge"
"28",1,28,"dargestellt,",3.27015503412218,5.44072532653809,"mgpt_lc",0.0000372,12,5.72698954543892,4.14651139443673,0.00000331,0.000871,10,4,8.98169686808251,6.20672225952148,"dargestellt,",523.685714285714,388.542857142857,257.685714285714,FALSE,"ge"
"29",1,29,"da",5.77986246003581,5.99234056472778,"mgpt_lc",0.00234,2,3.27015503412218,5.72698954543892,0.0000372,0.00000331,12,10,5.44072532653809,8.98169686808251,"da",123.628571428571,99.2285714285714,92.1428571428571,FALSE,"ge"
"30",1,30,"er",0.688660218813205,3.04289865493774,"mgpt_lc",0.00513,2,5.77986246003581,3.27015503412218,0.00234,0.0000372,2,12,5.99234056472778,5.44072532653809,"er",299.114285714286,231.514285714286,203.914285714286,FALSE,"ge"
"31",1,31,"in",4.14956638109124,6.81008577346802,"mgpt_lc",0.0174,2,0.688660218813205,5.77986246003581,0.00513,0.00234,2,2,3.04289865493774,5.99234056472778,"in",214.057142857143,178.342857142857,169.428571428571,FALSE,"ge"
"32",1,32,"die",5.99934334771887,4.98425436019897,"mgpt_lc",0.0302,3,4.14956638109124,0.688660218813205,0.0174,0.00513,2,2,6.81008577346802,3.04289865493774,"die",287.914285714286,194.628571428571,162.828571428571,FALSE,"ge"
"33",1,33,"Zukunft",8.27076886737881,8.76676940917969,"mgpt_lc",0.000162,7,5.99934334771887,4.14956638109124,0.0302,0.0174,3,2,4.98425436019897,6.81008577346802,"Zukunft",310.971428571429,186.771428571429,164.2,FALSE,"ge"
"34",1,34,"und",4.0061278387249,6.01769065856934,"mgpt_lc",0.0263,3,8.27076886737881,5.99934334771887,0.000162,0.0302,7,3,8.76676940917969,4.98425436019897,"und",81.2,71.9714285714286,71.9714285714286,FALSE,"ge"
"35",1,35,"in",1.76440088047894,4.17782163619995,"mgpt_lc",0.0174,2,4.0061278387249,8.27076886737881,0.0263,0.000162,3,7,6.01769065856934,8.76676940917969,"in",162.571428571429,135.885714285714,135.885714285714,FALSE,"ge"
"36",1,36,"die",0.243429527647851,1.0527423620224,"mgpt_lc",0.0302,3,1.76440088047894,4.0061278387249,0.0174,0.0263,2,3,4.17782163619995,6.01769065856934,"die",160.314285714286,145.085714285714,145.085714285714,FALSE,"ge"
"37",1,37,"Vergangenheit",0.461515370441643,2.51443815231323,"mgpt_lc",0.0000617,13,0.243429527647851,1.76440088047894,0.0302,0.0174,3,2,1.0527423620224,4.17782163619995,"Vergangenheit",414.914285714286,260.057142857143,197.285714285714,FALSE,"ge"
"38",1,38,"blickt.",5.40960026893592,8.47874429821968,"mgpt_lc",0.00000794,7,0.461515370441643,0.243429527647851,0.0000617,0.0302,13,3,2.51443815231323,1.0527423620224,"blickt.",223.028571428571,209.685714285714,196.742857142857,FALSE,"ge"
"39",1,39,"Janus",3.29841387163975,5.61771777272224,"mgpt_lc",0.00000123,5,5.40960026893592,0.461515370441643,0.00000794,0.0000617,7,13,8.47874429821968,2.51443815231323,"Janus",317.228571428571,291.285714285714,243.371428571429,FALSE,"ge"
"40",1,40,"überwachte",19.2335393200349,11.1144652366638,"mgpt_lc",0.000000851,10,3.29841387163975,5.40960026893592,0.00000123,0.00000794,5,7,5.61771777272224,8.47874429821968,"überwachte",654.342857142857,278.742857142857,165.085714285714,FALSE,"ge"
"41",1,41,"den",3.55763922787625,5.1983437538147,"mgpt_lc",0.01,3,19.2335393200349,3.29841387163975,0.000000851,0.00000123,10,5,11.1144652366638,5.61771777272224,"den",270.8,182.314285714286,167.257142857143,FALSE,"ge"
"42",1,42,"Beginn",4.21274823898669,8.23193550109863,"mgpt_lc",0.0000977,6,3.55763922787625,19.2335393200349,0.01,0.000000851,3,10,5.1983437538147,11.1144652366638,"Beginn",385.285714285714,238.285714285714,191.885714285714,FALSE,"ge"
"43",1,43,"und",1.4521239653741,2.29231262207031,"mgpt_lc",0.0263,3,4.21274823898669,3.55763922787625,0.0000977,0.01,6,3,8.23193550109863,5.1983437538147,"und",150.771428571429,109.885714285714,107.514285714286,FALSE,"ge"
"44",1,44,"das",4.15214062879376,2.08088970184326,"mgpt_lc",0.0145,3,1.4521239653741,4.21274823898669,0.0263,0.0000977,3,6,2.29231262207031,8.23193550109863,"das",299.628571428571,203.514285714286,172,FALSE,"ge"
"45",1,45,"Ende",0.0214325830066282,0.217608034610748,"mgpt_lc",0.000468,4,4.15214062879376,1.4521239653741,0.0145,0.0263,3,3,2.08088970184326,2.29231262207031,"Ende",263.8,172.485714285714,160.171428571429,FALSE,"ge"
"46",1,46,"von",4.01993008348686,2.46505737304688,"mgpt_lc",0.00977,3,0.0214325830066282,4.15214062879376,0.000468,0.0145,4,3,0.217608034610748,2.08088970184326,"von",173.171428571429,114.771428571429,114.771428571429,FALSE,"ge"
"47",1,47,"Konflikten",12.6035273537023,8.0560832247138,"mgpt_lc",0.0000055,10,4.01993008348686,0.0214325830066282,0.00977,0.000468,3,4,2.46505737304688,0.217608034610748,"Konflikten",479.371428571429,312.057142857143,221.4,FALSE,"ge"
"48",1,48,"und",1.34584354733843,2.92000150680542,"mgpt_lc",0.0263,3,12.6035273537023,4.01993008348686,0.0000055,0.00977,10,3,8.0560832247138,2.46505737304688,"und",71.7428571428571,66.6,55.9428571428571,FALSE,"ge"
"49",1,49,"damit",9.76839280565406,8.62503242492676,"mgpt_lc",0.000912,5,1.34584354733843,12.6035273537023,0.0263,0.0000055,3,10,2.92000150680542,8.0560832247138,"damit",341.114285714286,261.571428571429,226.571428571429,FALSE,"ge"
"50",1,50,"auch",3.03973260087441,4.27433490753174,"mgpt_lc",0.00603,4,9.76839280565406,1.34584354733843,0.000912,0.0263,5,3,8.62503242492676,2.92000150680542,"auch",194.285714285714,156.857142857143,156.857142857143,FALSE,"ge"
"51",1,51,"Krieg",8.53365388917231,3.25749015808105,"mgpt_lc",0.000148,5,3.03973260087441,9.76839280565406,0.00603,0.000912,4,5,4.27433490753174,8.62503242492676,"Krieg",237.685714285714,175.4,156.228571428571,FALSE,"ge"
"52",1,52,"und",1.31045996654064,2.82623076438904,"mgpt_lc",0.0263,3,8.53365388917231,3.03973260087441,0.000148,0.00603,5,4,3.25749015808105,4.27433490753174,"und",80.4,56.6857142857143,56.6857142857143,FALSE,"ge"
"53",1,53,"Frieden.",1.02945436399132,4.92128825187683,"mgpt_lc",0.000049,8,1.31045996654064,8.53365388917231,0.0263,0.000148,3,5,2.82623076438904,3.25749015808105,"Frieden.",384.685714285714,298.085714285714,245.628571428571,FALSE,"ge"
"54",1,54,"Die",4.87560728932437,5.35487365722656,"mgpt_lc",0.0302,3,1.02945436399132,1.31045996654064,0.000049,0.0263,8,3,4.92128825187683,2.82623076438904,"Die",166.028571428571,153.514285714286,140.571428571429,FALSE,"ge"
