"","trialid","ianum","model_ia","surp","ent","model","freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_ent","prev2_ent","ia","total_rt","gaze_rt","firstfix_rt","mismatch","lang"
"1",1,1,"En",0,0,"mgpt_lc",0.0282,2,NA,NA,NA,NA,NA,NA,NA,NA,"En",128.973684210526,98.8421052631579,95.8421052631579,FALSE,"sp"
"2",1,2,"las",6.89630719489979,10.3963851928711,"mgpt_lc",0.00977,3,0,NA,0.0282,NA,2,NA,0,NA,"las",359.026315789474,204.894736842105,183.631578947368,FALSE,"sp"
"3",1,3,"antiguas",9.71492774332981,8.55307865142822,"mgpt_lc",0.0000195,8,6.89630719489979,0,0.00977,0.0282,3,2,10.3963851928711,0,"antiguas",1115.31578947368,217.368421052632,173.894736842105,FALSE,"sp"
"4",1,4,"mitología",15.8867612440212,9.65597075223923,"mgpt_lc",0.00000417,9,9.71492774332981,6.89630719489979,0.0000195,0.00977,8,3,8.55307865142822,10.3963851928711,"mitología",1074.92105263158,312.315789473684,200.236842105263,FALSE,"sp"
"5",1,5,"y",5.63912787222489,4.59882402420044,"mgpt_lc",0.0275,1,15.8867612440212,9.71492774332981,0.00000417,0.0000195,9,8,9.65597075223923,8.55307865142822,"y",98.4736842105263,84.2631578947368,84.2631578947368,FALSE,"sp"
"6",1,6,"religión",3.56415402099671,6.4922661781311,"mgpt_lc",0.0000468,8,5.63912787222489,15.8867612440212,0.0275,0.00000417,1,9,4.59882402420044,9.65597075223923,"religión",793.973684210526,292.789473684211,215.973684210526,FALSE,"sp"
"7",1,7,"romana,",5.84557878952087,9.19729065895081,"mgpt_lc",0.00000977,7,3.56415402099671,5.63912787222489,0.0000468,0.0275,8,1,6.4922661781311,4.59882402420044,"romana,",577.289473684211,308.026315789474,223.921052631579,FALSE,"sp"
"8",1,8,"Jano",18.2117790068692,8.55783438682556,"mgpt_lc",0.000000562,4,5.84557878952087,3.56415402099671,0.00000977,0.0000468,7,8,9.19729065895081,6.4922661781311,"Jano",333.026315789474,243.789473684211,215.657894736842,FALSE,"sp"
"9",1,9,"es",4.8145989942223,4.92617416381836,"mgpt_lc",0.0105,2,18.2117790068692,5.84557878952087,0.000000562,0.00000977,4,7,8.55783438682556,9.19729065895081,"es",254.078947368421,162.394736842105,154.026315789474,FALSE,"sp"
"10",1,10,"el",1.7424313103382,4.03365421295166,"mgpt_lc",0.0282,2,4.8145989942223,18.2117790068692,0.0105,0.000000562,2,4,4.92617416381836,8.55783438682556,"el",267.763157894737,177.526315789474,150.526315789474,FALSE,"sp"
"11",1,11,"dios",1.7519026139056,5.10301160812378,"mgpt_lc",0.000407,4,1.7424313103382,4.8145989942223,0.0282,0.0105,2,2,4.03365421295166,4.92617416381836,"dios",265.184210526316,150.447368421053,129.421052631579,FALSE,"sp"
"12",1,12,"de",1.19860916775168,4.16671800613403,"mgpt_lc",0.0646,2,1.7519026139056,1.7424313103382,0.000407,0.0282,4,2,5.10301160812378,4.03365421295166,"de",70.8947368421053,59.2631578947368,59.2631578947368,FALSE,"sp"
"13",1,13,"los",2.49842141667971,2.21438360214233,"mgpt_lc",0.0151,3,1.19860916775168,1.7519026139056,0.0646,0.000407,2,4,4.16671800613403,5.10301160812378,"los",198.973684210526,153.421052631579,143.105263157895,FALSE,"sp"
