"","itemid","ianum","ia_text","surp","prev_surp","prev2_surp","len","prev_len","prev2_len","freq","prev_freq","prev2_freq","ent","prev_ent","prev2_ent","psychometric","context"
"1",1,3,"הרומית",9.62054134287283,14.7251521606955,10.3358633695746,6,4,10,4.07918124604763,2.51054501020661,3.17897694729317,8.27143716812134,9.37563610076904,10.4604849815369,303.236842105263,"long"
"2",1,4,"העתיקה,",7.10049186045767,9.62054134287283,14.7251521606955,7,6,4,4.69019608002851,4.07918124604763,2.51054501020661,9.94759567826986,8.27143716812134,9.37563610076904,243.684210526316,"long"
"3",1,5,"יאנוס",17.6333996498946,7.10049186045767,9.62054134287283,5,7,6,3.13987908640124,4.69019608002851,4.07918124604763,18.2832059860229,9.94759567826986,8.27143716812134,267.947368421053,"long"
"4",1,6,"הוא",3.49038698269846,17.6333996498946,7.10049186045767,3,5,7,6.88024177589548,3.13987908640124,4.69019608002851,6.23075389862061,18.2832059860229,9.94759567826986,170.526315789474,"long"
"5",1,7,"אל",4.70198317410753,3.49038698269846,17.6333996498946,2,3,5,6.35983548233989,6.88024177589548,3.13987908640124,6.74155473709106,6.23075389862061,18.2832059860229,174,"long"
"6",1,8,"ההתחלה",19.5204821762428,4.70198317410753,3.49038698269846,6,2,3,4.26951294421792,6.35983548233989,6.88024177589548,13.668794631958,6.74155473709106,6.23075389862061,284.342105263158,"long"
"7",1,9,"והשערים.",21.861680847226,19.5204821762428,4.70198317410753,8,6,2,2.62013605497376,4.26951294421792,6.35983548233989,17.7728116512299,13.668794631958,6.74155473709106,341.447368421053,"long"
"8",1,10,"יש",6.64461610173648,21.861680847226,19.5204821762428,2,8,6,6.58994960132571,2.62013605497376,4.26951294421792,6.13031959533691,17.7728116512299,13.668794631958,66.3421052631579,"long"
"9",1,11,"לו",4.78317866796414,6.64461610173648,21.861680847226,2,2,8,6.33041377334919,6.58994960132571,2.62013605497376,6.34668636322021,6.13031959533691,17.7728116512299,167,"long"
"10",1,12,"טבע",8.30202061920167,4.78317866796414,6.64461610173648,3,2,2,4.84010609445676,6.33041377334919,6.58994960132571,7.16476535797119,6.34668636322021,6.13031959533691,212.421052631579,"long"
"11",1,13,"כפול",11.3633974980052,8.30202061920167,4.78317866796414,4,3,2,4.64048143697042,4.84010609445676,6.33041377334919,12.2711639404297,7.16476535797119,6.34668636322021,309.921052631579,"long"
"12",1,14,"והוא",6.45450085230339,11.3633974980052,8.30202061920167,4,4,3,5.72997428569956,4.64048143697042,4.84010609445676,5.22813177108765,12.2711639404297,7.16476535797119,132.157894736842,"long"
"13",1,15,"מוצג",9.37145589058029,6.45450085230339,11.3633974980052,4,4,4,4.02938377768521,5.72997428569956,4.64048143697042,9.56169438362122,5.22813177108765,12.2711639404297,302.947368421053,"long"
"14",1,16,"בדרך",5.8642155754856,9.37145589058029,6.45450085230339,4,4,4,5.69019608002851,4.02938377768521,5.72997428569956,5.58646774291992,9.56169438362122,5.22813177108765,137.236842105263,"long"
"15",1,17,"כלל",0.281447265940117,5.8642155754856,9.37145589058029,3,4,4,5.65991620006985,5.69019608002851,4.02938377768521,1.97115647792816,5.58646774291992,9.56169438362122,206.5,"long"
"16",1,18,"כבעל",6.11818979355712,0.281447265940117,5.8642155754856,4,3,4,3.98000337158375,5.65991620006985,5.69019608002851,13.0058597922325,1.97115647792816,5.58646774291992,234.710526315789,"long"
"17",1,19,"שני",5.57606444172889,6.11818979355712,0.281447265940117,3,4,3,5.9698816437465,3.98000337158375,5.65991620006985,7.08133840560913,13.0058597922325,1.97115647792816,231.526315789474,"long"
"18",1,20,"פנים,",8.37577064490286,5.57606444172889,6.11818979355712,5,3,4,5.32014628611105,5.9698816437465,3.98000337158375,14.1452066898346,7.08133840560913,13.0058597922325,272.263157894737,"long"
"19",1,21,"כיוון",7.59926554932457,8.37577064490286,5.57606444172889,5,5,3,5.06069784035361,5.32014628611105,5.9698816437465,7.81314182281494,14.1452066898346,7.08133840560913,172.421052631579,"long"
"20",1,22,"שהוא",1.52793231160872,7.59926554932457,8.37577064490286,4,5,5,6.20951501454263,5.06069784035361,5.32014628611105,4.15902280807495,7.81314182281494,14.1452066898346,168.157894736842,"long"
"21",1,23,"מסתכל",12.566566485716,1.52793231160872,7.59926554932457,5,4,5,4.59988307207369,6.20951501454263,5.06069784035361,15.574836730957,4.15902280807495,7.81314182281494,252.315789473684,"long"
"22",1,24,"אל",3.41148516044635,12.566566485716,1.52793231160872,2,5,4,6.35983548233989,4.59988307207369,6.20951501454263,6.78815650939941,15.574836730957,4.15902280807495,51.4736842105263,"long"
"23",1,25,"העתיד",9.40880638651978,3.41148516044635,12.566566485716,5,2,5,4.69983772586725,6.35983548233989,4.59988307207369,10.1639750003815,6.78815650939941,15.574836730957,224.710526315789,"long"
"24",1,26,"ואל",8.395242857152,9.40880638651978,3.41148516044635,3,5,2,4.92992956008459,4.69983772586725,6.35983548233989,9.65909600257874,10.1639750003815,6.78815650939941,91.9210526315789,"long"
"25",1,27,"העבר.",7.49038853047229,8.395242857152,9.40880638651978,5,3,5,4.80002935924413,4.92992956008459,4.69983772586725,14.6068770885468,9.65909600257874,10.1639750003815,271.210526315789,"long"
"26",1,28,"יאנוס",3.54151877952117,7.49038853047229,8.395242857152,5,5,3,3.13987908640124,4.80002935924413,4.92992956008459,6.68286449462175,14.6068770885468,9.65909600257874,219.947368421053,"long"
